user_id,station_id,start_time,end_time,utility,charge_needed,algorithm
0,10,237,240,96.57701954979275,17.026445149193748,Deadline Constrained
0,11,92,96,75.81581676584783,36.7465005279211,Deadline Constrained
0,13,116,118,149.03744295788624,25.053988884671824,Deadline Constrained
1,8,322,325,140.88240309687967,49.0255759366112,Deadline Constrained
1,10,285,291,72.70012993384206,74.92846842629379,Deadline Constrained
2,9,260,263,66.8141085894747,49.39088261454817,Deadline Constrained
3,3,180,182,66.76215638405844,14.93659932900819,Deadline Constrained
3,9,61,63,141.59277461037811,23.246611823449815,Deadline Constrained
3,9,274,276,51.4470641502865,19.255556885068426,Deadline Constrained
3,4,85,88,136.77820443927635,44.77007440493476,Deadline Constrained
4,2,272,278,98.99317532448607,73.8605488176303,Deadline Constrained
4,1,276,282,132.80595427328763,54.47078160029769,Deadline Constrained
5,13,254,257,72.74908908690624,34.70524973227224,Deadline Constrained
5,12,333,335,122.75933433047433,24.862753327760462,Deadline Constrained
6,1,321,326,68.76109885454247,64.20844192566553,Deadline Constrained
7,11,80,81,67.20998526498622,15.752911547860364,Deadline Constrained
7,13,233,237,137.7243325191642,23.014120256388306,Deadline Constrained
7,5,328,330,117.894542428067,32.40311822935359,Deadline Constrained
8,9,305,307,108.91334031560382,24.368756258798932,Deadline Constrained
8,6,65,67,77.37099171728426,21.181792077705953,Deadline Constrained
8,7,249,254,118.15260298866504,29.396870471978772,Deadline Constrained
9,14,298,301,86.03211376915627,44.660423299729786,Deadline Constrained
9,9,248,255,93.04219080879669,46.54806084937037,Deadline Constrained
9,1,154,159,111.90930952711196,75.40933629938078,Deadline Constrained
10,11,139,144,75.09864855231814,58.71745582573021,Deadline Constrained
11,11,187,189,114.53195833376168,27.51937795781812,Deadline Constrained
11,8,31,33,92.27587770882381,38.67758611292691,Deadline Constrained
11,0,322,324,105.07432808910721,26.79149013384148,Deadline Constrained
11,3,281,286,135.88139146748568,41.55507088991491,Deadline Constrained
11,12,330,335,72.71497467713269,43.99460018545236,Deadline Constrained
12,11,43,46,55.75718653027971,39.37493792431663,Deadline Constrained
12,4,18,22,147.06000678574586,50.58408436245451,Deadline Constrained
12,11,274,279,137.5677357511523,43.70636143416222,Deadline Constrained
12,13,326,329,104.53628521336417,55.213621026153525,Deadline Constrained
12,14,225,229,114.50098154915673,53.26632237432137,Deadline Constrained
13,12,159,167,57.24223128606848,78.7963548053716,Deadline Constrained
13,4,90,93,70.52716745506585,44.85025431117588,Deadline Constrained
13,2,301,303,58.292715250972606,34.870130490496386,Deadline Constrained
13,3,258,260,112.34381336941121,25.395903638307402,Deadline Constrained
14,0,249,251,138.0548342338957,21.280181732418107,Deadline Constrained
14,7,224,228,66.1712778330108,32.83345382594405,Deadline Constrained
14,9,175,177,96.1770366396279,19.220577982041497,Deadline Constrained
14,3,132,133,110.65258670505337,7.918061574640593,Deadline Constrained
15,0,281,285,111.21662207231456,34.57824165297535,Deadline Constrained
15,11,42,48,93.17328238428492,53.24527069542522,Deadline Constrained
15,2,158,161,94.24913136680374,42.676761903037345,Deadline Constrained
15,11,17,19,91.27630727487937,32.373894159363545,Deadline Constrained
16,0,330,334,55.41344084023208,65.85299739487105,Deadline Constrained
16,12,275,278,81.11206807596474,44.51285306227482,Deadline Constrained
16,2,109,113,107.57193053312042,51.61011952278722,Deadline Constrained
17,14,90,98,73.10361379470595,77.06814355889473,Deadline Constrained
17,7,202,204,84.34206161306739,37.016344024662345,Deadline Constrained
17,14,38,41,90.9838478109594,38.96628645993326,Deadline Constrained
18,5,31,34,98.18733839449902,30.962399565230797,Deadline Constrained
18,9,105,109,69.3700292785702,38.4409205296936,Deadline Constrained
18,14,322,325,80.63445752021462,43.98733080916684,Deadline Constrained
19,2,57,61,111.47709531562623,47.54497349946182,Deadline Constrained
19,7,163,167,124.24575642135565,37.68770468015969,Deadline Constrained
19,8,104,106,144.5117507342546,35.016393678512394,Deadline Constrained
19,14,41,43,139.4749220975798,36.80933221383237,Deadline Constrained
19,9,90,94,115.1489153529613,55.33869986855634,Deadline Constrained
20,11,200,201,124.85647184536268,15.042870983178801,Deadline Constrained
20,13,91,95,72.60991936266922,42.00548441740922,Deadline Constrained
20,12,186,188,53.24601417622764,34.496329214608025,Deadline Constrained
20,8,330,332,105.5018524205291,32.79745333844403,Deadline Constrained
21,5,41,45,74.23257302463215,40.40352781652644,Deadline Constrained
