user_id,archetype,priority,battery_capacity,initial_charge,final_charge,min_charge_needed,utility_score,satisfied,total_cost,transactions,preferred_time_matches,avg_price_paid,max_price
0,Emergency Vehicle,1,105.89816865423444,106.1397584542283,106.1397584542283,63.53890119254066,100.0,True,32.06124259815142,4,4,0,0.5001292492657275
1,Emergency Vehicle,1,82.2762826934058,82.80259107371748,82.80259107371748,49.36576961604348,100.0,True,23.90328505907287,3,3,0,0.5211562265950039
2,Emergency Vehicle,1,84.56003844741723,81.2190481827592,81.2190481827592,50.736023068450336,100.0,True,16.66825137357807,2,2,0,0.6549869852210648
3,Emergency Vehicle,1,83.87759994526638,83.71526384970981,83.71526384970981,50.32655996715983,100.0,True,15.11166136863134,2,2,0,0.5347855128147254
4,Emergency Vehicle,1,109.25136499780606,113.88088405648753,113.88088405648753,65.55081899868364,100.0,True,22.641520966219833,3,3,0,0.5728971127140513
5,Emergency Vehicle,1,91.54390976596673,88.25989642791542,88.25989642791542,54.92634585958004,100.0,True,15.134002942839668,2,2,0,0.721864275076074
6,Emergency Vehicle,1,90.25445692701474,24.94381150797572,24.94381150797572,54.152674156208846,70.20163155058646,True,0.0,0,0,0,0.5342225734046722
7,Emergency Vehicle,1,101.43398475096123,72.38256805704235,72.38256805704235,60.860390850576735,87.34695342134401,True,14.183427955169925,2,2,0,0.5411513742505075
8,Emergency Vehicle,1,115.0482212147399,79.80388493039722,79.80388493039722,69.02893272884394,90.8178674237892,True,25.053767461915395,3,3,0,0.507492471993535
9,Emergency Vehicle,1,105.85519749305759,88.21498199368219,88.21498199368219,63.51311849583455,100.0,True,15.264833162255727,2,2,0,0.6464764112750355
10,Emergency Vehicle,1,119.16321289901106,100.52635107910811,100.52635107910811,71.49792773940663,100.0,True,34.21609032532846,4,4,0,0.6910149425861187
11,Emergency Vehicle,1,104.50873568758803,79.23478963852276,79.23478963852276,62.705241412552816,98.08838595224047,True,15.422254538857045,2,2,0,0.6689935130638622
12,Emergency Vehicle,1,108.69458944299865,87.60800167744395,87.60800167744395,65.21675366579919,100.0,True,14.320770940878699,2,2,0,0.6488684312043169
13,Emergency Vehicle,1,83.37835038932086,85.28572229821953,85.28572229821953,50.02701023359251,100.0,True,14.747907692880785,2,2,0,0.5293279116702048
14,Emergency Vehicle,1,107.93035590080163,48.97875343474757,48.97875343474757,64.75821354048098,96.56469439153967,True,0.0,0,0,0,0.47002631583881993
15,Emergency Vehicle,1,87.87210430091757,54.42008123516739,54.42008123516739,52.72326258055054,74.47341305356908,True,16.224621310858755,2,2,0,0.6471275742807356
16,Emergency Vehicle,1,119.87087100005736,78.29280790175821,78.29280790175821,71.92252260003441,80.19217441238457,True,14.063840494787337,2,2,0,0.6056959530944073
17,Emergency Vehicle,1,92.9884528129831,73.92961405663266,73.92961405663266,55.793071687789855,100.0,True,14.099514120382594,2,2,0,0.6087027845314535
