user_id,archetype,battery_capacity,initial_charge,charging_need,max_price,price_sensitivity,time_sensitivity,range_anxiety,preferred_times_count,preferred_duration,location_preference
0,Daily Commuter,63.62925279926139,19.993502172695866,101.46250382697008,0.31589121221439675,0.5381665701279934,0.6126517512018271,0.600107389637416,7,12.08589713423167,urban_dense
1,Daily Commuter,55.20426471646832,6.142329008973262,108.46717675439268,0.3766717409735517,0.6941681399248548,0.7731607431201019,0.6895988732055189,7,2.268699378158952,urban_sparse
2,Daily Commuter,46.090731601670996,6.668700335474804,148.9963339850791,0.2708409716007872,0.7562489329880917,0.74178339067385,0.6518454002505589,7,3.5833586857065782,urban_sparse
3,Daily Commuter,45.89183659587536,4.874266773001328,73.26508170516558,0.20818733141008564,0.7275121395592317,0.6941715386069822,0.5880658813800645,7,8.838699377870581,urban_dense
4,Daily Commuter,58.136897834774615,15.92509572399557,97.15125435623817,0.2383955944430988,0.7470082198478852,0.7623777253152034,0.6981088109382584,7,1.7356674363402171,urban_dense
5,Daily Commuter,41.477966569670876,14.557777690961943,125.25450144104211,0.20034744490833264,0.6870033978960136,0.6565859977532151,0.6525402002012861,7,16.72459644908411,urban_dense
6,Daily Commuter,67.93736714605707,18.307890924241544,113.68059758499068,0.2574917005369656,0.6225864440097987,0.6652766907841653,0.5246768499575479,7,17.852015009701276,urban_sparse
7,Daily Commuter,52.17601689996527,14.64822103752494,128.90689186143612,0.3049645328729057,0.6047967961162302,0.7722281456103252,0.3839800729910204,7,2.1988428859823728,urban_dense
8,Daily Commuter,66.79338680825767,21.271008241546973,90.83554603561055,0.3528782557646291,0.7211817927928954,0.7465127268826587,0.48304333042604997,7,1.6346591083882336,urban_dense
9,Daily Commuter,56.61629698204686,17.728584788304598,104.16563971220366,0.2860389987253652,0.6105733392115911,0.7614808927394833,0.5896528920638519,7,2.4508719672537906,urban_dense
10,Daily Commuter,53.19386562475603,18.746682256005986,91.74805356767229,0.2591637904306307,0.704495091875722,0.7399853674193692,0.6141446255825413,7,1.6416287645045726,urban_dense
11,Daily Commuter,64.62663189874503,14.353531580020514,123.51632470103507,0.24396689552432524,0.7821828111568078,0.6607264097077669,0.5564354874636346,7,16.14923291163753,urban_dense
12,Daily Commuter,55.13737370541366,20.558551024478238,66.37279095143596,0.25287834657098096,0.5957307153255391,0.7472257455027314,0.5637372919856288,7,1.5267314322603422,urban_dense
13,Daily Commuter,67.1804959474508,29.399582581226273,92.82904496848678,0.19917309602738853,0.6380973108344249,0.6462897241843615,0.43062415080694016,7,11.796315254757365,urban_dense
